Generation,Best Weight
11,000011011100001100100111100110000010110000011110111001100111100001101010101011111101100011101100001010000100010101001000100111010000110001010000011111111110111101111001110000100100101101001100001011001100000111101000001110010111101101000000101001001101001001000110110000111001101010111100100000011110000010100011010000101001001010010001011100100000111111011101000101100011100001110100101011101001010110011010110110010000111000010100001100110001101011110110000111111000011111011001011001010110101000110001001111011000001110011001001001100101111010010010011000111110111000000101110010101001100011000101011011101101010000110001000111101001100101101110101001100101001000000001010000000000001010100011010001010100100100100011001011110001011111111001110000001010001000111111001001101011101101100100010010000110011010011100111000010001111110110000011111011100011011010100011101101110111011111100110000001110000101101000011000111100100100110111100111111010011111110000
12,000011011100001100100111100110000010110000011110111001100111100001101010101011111101100011101100001010000100010101001000100111010000110001010000011111111110111101111001110000100100101101001100001011001100000111101000001110010111101101000000101001001101001001000110110000111001101010111100100000011110000010100011010000101001001010010001011100100000111111011101000101100011100001110100101011101001010110011010110110010000111000010100001100110001101011110110000111111000011111011001011001010110101000110001001111011000001110011001001001100101111010010010011000111110111000000101110010101001100011000101011011101101010000110001000111101001100101101110101001100101001000000001010000000000001010100011010001010100100100100011001011110001011111111001110000001010001000111111001001101011101101100100010010000110011010011100111000010001111110110000011111011100011011010100011101101110111011111100110000001110000101101000011000111100100100110111100111111010011111110000
13,000011011100001100100111100110000010110000011110111001100111100001101010101011111101100011101100001010000100010101001000100111010000110001010000011111111110111101111001110000100100101101001100001011001100000111101000001110010111101101000000101001001101001001000110110000111001101010111100100000011110000010100011010000101001001010010001011100100000111111011101000101100011100001110100101011101001010110011010110110010000111000010100001100110001101011110110000111111000011111011001011001010110101000110001001111011000001110011001001001100101111010010010011000111110111000000101110010101001100011000101011011101101010000110001000111101001100101101110101001100101001000000001010000000000001010100011010001010100100100100011001011110001011111111001110000001010001000111111001001101011101101100100010010000110011010011100111000010001111110110000011111011100011011010100011101101110111011111100110000001110000101101000011000111100100100110111100111111010011111110000
14,000011011100001100100111100110000010110000011110111001100111100001101010101011111101100011101100001010000100010101001000100111010000110001010000011111111110111101111001110000100100101101001100001011001100000111101000001110010111101101000000101001001101001001000110110000111001101010111100100000011110000010100011010000101001001010010001011100100000111111011101000101100011100001110100101011101001010110011010110110010000111000010100001100110001101011110110000111111000011111011001011001010110101000110001001111011000001110011001001001100101111010010010011000111110111000000101110010101001100011000101011011101101010000110001000111101001100101101110101001100101001000000001010000000000001010100011010001010100100100100011001011110001011111111001110000001010001000111111001001101011101101100100010010000110011010011100111000010001111110110000011111011100011011010100011101101110111011111100110000001110000101101000011000111100100100110111100111111010011111110000
15,000011011100001100100111100110000010110000011110111001100111100001101010101011111101100011101100001010000100010101001000100111010000110001010000011111111110111101111001110000100100101101001100001011001100000111101000001110010111101101000000101001001101001001000110110000111001101010111100100000011110000010100011010000101001001010010001011100100000111111011101000101100011100001110100101011101001010110011010110110010000111000010100001100110001101011110110000111111000011111011001011001010110101000110001001111011000001110011001001001100101111010010010011000111110111000000101110010101001100011000101011011101101010000110001000111101001100101101110101001100101001000000001010000000000001010100011010001010100100100100011001011110001011111111001110000001010001000111111001001101011101101100100010010000110011010011100111000010001111110110000011111011100011011010100011101101110111011111100110000001110000101101000011000111100100100110111100111111010011111110000
16,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
17,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
18,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
19,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
20,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
