Generation,Best Score,Medium Score
1,544.4,51.65
2,737.9,57.268
3,969.5,65.063
4,773.4,49.28
5,1103.4,77.86
6,1081.7,70.425
7,525.1,60.052
8,462.6,72.476
9,1672.6,104.865
10,3078.1,170.226
11,1937,121.573
12,2633.2,115.874
13,2115.1,83.885
14,2527.8,115.035
15,1538.9,79.472
16,1542.7,107.401
17,1466.1,78.956
18,1336.2,133.443
19,1543.6,105.69
20,2132.1,105.196
21,1937,106.341
22,2208,138.985
23,1293.1,100.813
24,1751.4,110.258
25,1989,104.713
26,1442.3,79.022
27,2116.9,99.962
28,2221.4,114.09
29,2242.2,143.415
30,2568.1,185.756
31,3486,190.819
32,2889.7,171.812
33,3348.8,229.32
34,1229.9,141.729
35,3470.4,214.749
36,3101,232.683
37,4360.2,311.951
38,2500.8,357.524
39,6355.5,370.526
40,4142.4,336.455
41,6292.8,448.291
42,7409.6,379.263
43,5964.1,321.498
44,6887.5,333.104
45,7442.7,326.024
46,6398.3,364.734
47,9159.2,357.277
48,5850.9,455.808
49,8712.4,443.523
50,5899.5,613.549
51,5290.2,591.628
52,4581.4,748.215
53,9086.4,811.845
54,8280.4,781.672
55,12584.7,657.544
56,4282.3,655.2
57,6282,735.166
58,8471.2,853.78
59,7103.5,806.984
60,5581.2,832.316
61,5922.3,1006.3
62,5977.4,890.769
63,7751.2,1124.37
64,6083.1,1182.49
65,10422.3,1311.52
66,11357.7,1529.86
67,17904.9,1711.66
68,30972.5,1814.78
69,17618.5,1524.34
70,20280.6,1920.88
71,16285.6,1793.75
72,23481.8,2094.61
73,22635.1,2902.38
74,20630.2,1957.77
75,21200.4,2341.77
76,14174.4,2192.03
77,17820.9,2459.86
78,17876,3488.32
79,14700.2,3490.23
80,20680.2,4425.01
81,20475.1,4267.19
82,17110.7,3947.02
83,23723.3,4258.92
84,23805.4,4854.53
85,21517.8,4351.09
86,21548.4,4779.1
87,25580.7,5038.8
88,35106.6,4427.02
89,35158.9,4836.89
90,32171.6,4503.4
91,30079.4,5112.61
92,32739.1,4745.84
93,12199.2,4575.48
94,14975.7,4289.07
95,17848.3,5059.94
96,20793.3,5766.17
97,21506,7503.01
98,18969.7,5315.74
99,28317.4,6878.26
100,22008,7535.03
101,20576.8,5763.21
102,20859.2,6355.24
103,14344.9,5453.8
104,20600.7,5850.91
105,21157.3,7016.87
106,18715.7,6877.95
107,23856.2,5852.93
108,24236.4,7062.26
109,17624,6188.02
110,31704.3,7253.86
111,12288.3,5061.63
112,17415.7,4832.31
113,19979.5,6116.19
114,25024.2,5489.46
115,17860.3,6575.06
116,16678.6,4657.99
117,28260.7,4794.07
118,27580.5,5641.62
119,17850.1,6086.94
120,22697.1,5981.09
121,22059.1,5026.6
122,23760.2,5458.49
123,25499.9,6077.42
124,12820.8,5297.07
125,26335.2,6685.88
126,20937.8,5803.38
127,18235.9,5943.19
128,19976,5764.09
129,30708.9,10988.4
130,37470.1,8846.16
131,24492.3,6211.13
132,23903.1,7778.6
133,31918.9,8370.61
134,24238.5,8194.46
135,30582.7,8341.43
136,19330.8,8942.87
