Generation,Best Score,Medium Score
1,790,51.889
2,1111.9,73.793
3,724.9,73.901
4,1140.1,64.446
5,775.3,54.447
6,1336.1,108.71
7,1995.1,101.727
8,2481.7,113.219
9,2119.2,95.493
10,1857.6,145.505
11,2709.8,118.121
12,912.6,86.649
13,1135.5,86.895
14,5569.1,139.795
15,4980.8,129.668
16,6212.3,151.737
17,2450.1,118.488
18,4597.4,120.787
19,5786.1,218.046
20,6233.5,177.515
21,3204,139.12
22,3606,144.379
23,1875.6,131.255
24,1164.3,105.784
25,2585.8,133.372
26,7682.3,220.01
27,9550.2,338.514
28,7313.6,236.714
29,8249.1,272.518
30,5986.8,221.863
31,9432.4,266.15
32,4633.8,226.287
33,7037.5,279.127
34,7461.6,495.719
35,6891.7,290.734
36,3212.1,352.89
37,11217,429.82
38,6243.4,350.501
39,6324.6,438.482
40,5308.3,319.871
41,11074.5,346.432
42,5940.4,301.831
43,6614,306.726
44,7637.9,433.982
45,2786.3,387.749
46,8729.1,391.82
47,5073.6,310.078
48,7862.7,438.131
49,8042.7,476.625
50,6226.8,561.881
51,6016.7,576.813
52,7563.3,818.882
53,13627.8,915.603
54,8188.9,1006.67
55,7604.3,736.404
56,7471.6,670.352
57,13074.2,856.881
58,14656.3,1456.33
59,12284.1,1108.99
60,15891.7,1441.76
61,11724.2,1320.65
62,10661.3,1447.57
63,20695.9,1487.52
64,13250,1288.48
65,8226.3,1298.88
66,14959.5,1260.79
67,15433.3,1413.3
68,20569.9,1824.83
69,17562.3,2195.81
70,25440.3,2839.91
71,20933.5,2247.25
72,35166.4,4100.99
73,40034,3940.44
74,51379.1,4657.94
75,36767,5545.33
76,31223.6,5452.37
77,22476,4216.23
78,25880.8,4788.42
79,31879.5,4706.11
80,31203.3,5354.67
81,42103.3,6108.73
82,31775.7,7071.8
83,24488.5,5946.41
84,28323.7,6057.89
85,41405.7,6670.92
86,31603.5,7638.53
87,58638.1,7936.05
88,42168.6,8852.15
89,34051,7180.25
90,52309.3,9258.19
91,68951.9,8595.21
92,77152.6,8820.79
93,39476.6,6946.99
94,36185.9,6832.26
95,29452,5855.53
96,49072,9640.03
97,36379.3,8626.96
98,33038.9,7568.81
99,22089.5,8198.23
100,41663.3,6767.43
101,66413.6,8984.85
102,42829.6,8653.85
103,42955.6,7496.11
104,37740.1,7278.02
105,49779.2,8542.9
106,60435.3,9873.31
107,41019.6,8153.08
108,38739,10351.2
109,26942.1,7803.02
110,45910.1,9705.81
111,48595.1,11070.8
112,43702.4,11006.1
113,36591.9,8025.44
114,41898.5,8331.43
115,60883.3,9970.68
116,37866.3,11366.6
117,34072.2,11667.6
118,34379.2,11912.8
119,58378,12655
120,41772.7,14141.1
121,29241.1,10172.6
122,30949.1,11093.8
123,31321.9,11866.8
124,42252.2,11757.9
125,33027.3,10655.1
126,34262,9285.25
127,29161.5,12904
128,52634.9,10718.7
129,36611.7,9715.07
