Generation,Best Score,Medium Score
1,867.8,53.356
2,1443.3,79.177
3,958.6,64.454
4,1348.4,76.633
5,1056.1,90.604
6,1403.9,86.149
7,1610,87.674
8,1189.8,73.49
9,1318.3,97.129
10,2099.1,77.013
11,4154.8,118.659
12,3582.2,121.139
13,5861.6,147.131
14,7226.3,242.438
15,6389.3,145.063
16,6097.8,222.338
17,7088.9,178.299
18,6425.4,166.224
19,2848.4,150.231
20,6492.7,215.718
21,5629,160.41
22,7875.4,286.64
23,4169.4,242.01
24,4839.3,208.519
25,4936.4,378.595
26,3490.1,198.242
27,3991,277.221
28,8006.1,378.983
29,2935.3,227.104
30,8967.4,285.611
31,8795.5,419.091
32,7236.2,337.452
33,9654,377.228
34,10302.2,480.623
35,15519.1,529.327
36,6494.9,432.951
37,17655.4,593.684
38,6702.8,710.54
39,8318.7,581.408
40,14866.8,690.196
41,14133.6,1115.76
42,15546.6,837.79
43,20364.9,1444.31
44,17116.9,1057.41
45,10306.6,1062.54
46,20924.1,2068
47,10933.8,1492.02
48,8661.1,1114.27
49,11438,1330.57
50,15710.5,1307.59
51,17492,1544.12
52,15207.9,1364.95
53,20163.9,1741.96
54,11401.7,1557.95
55,16259.3,2128.95
56,29849.2,2639.95
57,18965.5,1910.29
58,25408.4,2347.3
59,15804.7,1960.43
60,14643.6,2009.68
61,18150.3,1645.81
62,25653.3,2027.77
63,17228.1,2407.06
64,24077,2979.82
65,13899.1,2516.44
66,21706.1,2230.28
67,13864.8,2172.39
68,9672.4,2249
69,14978,2185.58
70,15607.4,3326.71
71,10655.9,3197.73
72,26087.3,3245.21
73,9713.3,2705.67
74,12654.9,3527.22
75,16175.9,3265.93
76,19481.2,3635.47
77,17199,3523.94
78,18653.9,3928.76
79,19599.9,3965.99
80,8847.5,3568.51
81,15102.9,4086.84
82,24809.1,4176.49
83,20425,4015.16
84,24783.2,3049.24
85,14028.8,3253.92
86,19258.1,3914
87,13693.3,4112.72
88,18213,3044.02
89,30460.6,4754.59
90,20527.2,4877.64
91,15782.1,4066.37
92,9530.2,4558.52
93,14791.3,3386.36
94,16248.7,4450.05
95,13389.5,4767.14
96,11587.2,4380.07
97,10070.7,2856.71
98,10633.3,3123.86
99,14276.8,3507.39
100,14863.6,4160.69
101,12180.7,4142.45
102,25530.3,3384.03
103,23310.7,4054.94
104,14298,3467.51
105,20239.2,4893.59
106,19978.7,4651.52
107,21593.3,5764.45
108,11116.4,4589.03
109,14582.8,4171.4
110,16474.7,4514.34
111,13713.7,3432.81
112,15400.3,4860.42
113,23526.2,4744.7
114,13287.1,4404.73
115,10014.1,3818.49
116,14685.8,4421.68
117,12616.8,4265.62
118,15832.8,4465.31
119,10257.3,3404.65
120,17166,4347.29
121,15206.1,5712.26
122,19530.8,5957.38
123,24952.6,5337.07
124,19295.1,6033.34
125,12536.6,3779.75
126,18825.1,5261.61
127,22510.7,6118.8
128,23494.2,5196.59
129,19183.8,6932.44
130,22900.2,3984.58
131,14686.4,4958.43
132,17551,5376.26
133,14714.6,5369.31
134,9425.3,4367.85
